Date,Predicted Price,Original Price,21 SMA,RSI,Upper BBand,Middle BBand,Lower BBand,MACD,MACD Signal,Score,Signal
7/15/2019,413.9472,404.9262,432.1646286,33.94699191,463.6480719,431.480705,399.3133381,-12.35321804,-10.04376258,0,-1
7/16/2019,412.96603,385.0318,429.2688524,27.99311558,465.6960634,428.44014,391.1842166,-14.37270718,-10.9095515,1,-1
7/17/2019,397.7562,385.7358,426.4066,28.47120148,465.6571208,425.285785,384.9144492,-15.73497693,-11.87463659,0,0
7/18/2019,389.8719,366.449,422.4840333,23.80761521,467.4655183,421.16709,374.8686617,-18.16151447,-13.13201216,0,-1
7/19/2019,377.7653,350.3349,417.7941286,20.74950874,470.0666313,416.24269,362.4187487,-21.14113431,-14.73383659,-1,-1
7/22/2019,366.25735,355.0216,413.3274,23.8146735,472.467051,412.674635,352.882219,-22.86080188,-16.35922965,0,1
7/23/2019,365.9587,356.8056,410.0142048,25.0037338,473.6864079,409.377555,345.0687021,-23.80528444,-17.84844061,0,0
7/24/2019,361.43567,360.6437,407.0568952,27.62101948,473.6120825,406.266115,338.9201475,-23.96780513,-19.07231351,-1,1
7/25/2019,357.57025,361.1355,404.1170381,27.96791158,470.7934306,402.404415,334.0153994,-23.78276687,-20.01440418,1,0
7/26/2019,358.754,353.2376,400.0631381,25.82715944,463.8105153,397.18059,330.5506647,-23.9967971,-20.81088277,0,-1
7/29/2019,355.19305,343.951,394.6458476,23.5450534,459.6031939,392.324175,325.0451561,-24.63182823,-21.57507186,-1,-1
7/30/2019,349.15475,358.4739,390.7122571,33.44873724,452.5460597,388.06806,323.5900603,-23.6901332,-21.99808413,1,1
7/31/2019,354.6612,356.1017,386.5458524,32.70354446,441.9516101,383.259385,324.5671599,-22.87160026,-22.17278735,0,0
8/1/2019,356.72662,347.6444,381.5634333,30.12660495,435.4466966,379.096815,322.7469334,-22.64431091,-22.26709206,0,-1
8/2/2019,351.8955,348.1266,377.6220429,30.46304309,427.5131419,374.958355,322.4035681,-22.16971428,-22.24761651,1,0
8/5/2019,349.41663,351.9839,373.8643333,33.23252931,423.0611692,372.089925,321.1186808,-21.23752816,-22.04559884,0,1
8/6/2019,350.91016,351.9839,371.1324952,33.23252931,415.7036532,368.76295,321.8222468,-20.2651598,-21.68951103,0,0
8/7/2019,352.04974,349.0909,367.8261857,32.11979699,407.1374324,365.31833,323.4992276,-19.50317137,-21.2522431,-1,0
8/8/2019,350.97058,341.8391,364.2002714,29.45722587,399.5522659,361.91807,324.2838741,-19.26240469,-20.85427542,0,-1
8/9/2019,350.1272,350.0552,361.3531714,35.9367346,389.7400766,358.928615,328.1171534,-18.19883986,-20.32318831,0,1
8/12/2019,347.02673,350.0552,358.5060714,35.9367346,378.8087216,356.185065,333.5614084,-17.15816839,-19.69018432,0,0
8/13/2019,348.58005,350.0552,355.8931667,35.9367346,372.8938739,354.436235,335.9785961,-16.1472928,-18.98160602,0,0
8/14/2019,349.32944,350.0552,354.2276143,35.9367346,364.3080843,352.652205,340.9963257,-15.17128153,-18.21954112,0,0
8/15/2019,348.40585,350.0552,352.5285381,35.9367346,361.6534382,351.832515,342.0115918,-14.23370824,-17.42237454,0,0
8/16/2019,350.7653,350.0552,351.747881,35.9367346,361.648736,351.81853,341.988324,-13.33693477,-16.60528659,0,0
8/19/2019,352.37604,338.001,351.1605524,29.69442575,362.3635009,350.9675,339.5714991,-13.44393521,-15.97301631,-1,-1
8/20/2019,344.89816,346.1979,350.7403762,37.62837838,361.6833028,350.437115,339.1909272,-12.72067647,-15.32254835,1,1
8/21/2019,343.46136,347.4998,350.2972429,38.80950506,360.0580427,349.77992,339.5017973,-11.90520052,-14.63907878,-1,0
8/22/2019,345.56555,347.2972,349.6616952,38.6867278,357.9856317,349.088005,340.1903783,-11.14678488,-13.94062,0,0
8/23/2019,347.50607,347.1622,348.9963,38.59910119,357.50757,348.784235,340.0609,-10.43632494,-13.23976099,1,0
8/26/2019,346.7954,349.0909,348.7988381,40.6668006,357.4780045,349.04123,340.6044555,-9.606907886,-12.51319037,-1,1
8/27/2019,350.02496,340.8844,348.6528095,35.23043497,356.1365266,348.161755,340.1869834,-9.502248854,-11.91100206,0,-1
8/28/2019,345.0503,326.1203,347.1121619,27.98283715,358.4594956,346.662685,334.8658744,-10.48972626,-11.6267469,1,-1
8/29/2019,337.0805,326.1203,345.6844762,27.98283715,360.3762412,345.58648,330.7967188,-11.14384986,-11.5301675,0,0
8/30/2019,330.6006,324.9824,344.6053333,27.4775702,361.6628325,344.42927,327.1957075,-11.62011707,-11.54815741,0,0
9/2/2019,329.96045,324.9824,343.5032286,27.4775702,361.8921302,343.079195,324.2662598,-11.86083791,-11.61069351,1,0
9/3/2019,327.98492,314.3747,341.7123143,22.98962511,363.305586,341.198735,319.091884,-12.7604689,-11.84064859,0,-1
9/4/2019,324.302,313.4007,339.875019,22.62422777,364.2751151,339.414225,314.5533349,-13.39758755,-12.15203638,1,-1
9/5/2019,316.4809,305.6956,337.8085762,19.9261148,366.4378228,337.60705,308.7762772,-14.35872738,-12.59337458,-1,-1
